id_restaurants,id_user,date_review,review_message,rating_overall,rating_recent,rating_food,rating_service,rating_ambience,noise_level,would_recommend,loved_for,filters
4849417,421046,2000-1-23,Corrupti necessitatibus enim at laborum quibusdam tempora. Sit natus nihil vel saepe eum eius provident sed. Porro in ab qui harum est. Facere officia quae. Error et aliquid.,4,3,1,2,3,do not recall,0,Great night scene,breakfast
6887696,407069,2000-2-21,Quia deserunt voluptatum occaecati ullam. Tempora et molestias. Dolores ad vitae. Mollitia animi velit quae possimus perspiciatis dolor exercitationem quod dolorem. Voluptatem non dignissimos ratione consequuntur facere optio.,2,5,5,2,3,quiet,0,Great for couples,drinks
3367249,472988,2000-5-5,Rerum voluptatibus officiis optio molestiae. Tenetur facilis illo voluptate commodi ab voluptatibus quidem debitis. Nulla tempore totam natus ea aut recusandae blanditiis. Quo et velit voluptas quasi saepe aperiam. Autem consequatur accusantium. Iste facere ducimus aut dolores.,4,4,3,5,4,quiet,0,Great for singles,drinks
5354440,110096,2000-5-25,Qui non accusantium rerum id et. Exercitationem nulla voluptas omnis magni vitae molestiae dolorum totam officia. Odio necessitatibus voluptatibus explicabo similique numquam. Quia tempora maiores veritatis et voluptate numquam incidunt enim. Illum omnis delectus rerum sit. Aut eius temporibus.,2,3,5,4,3,do not recall,0,Great for couples,lunch
6479150,329992,2000-12-2,Porro et magni earum ad quisquam accusamus inventore. Eos ut autem debitis minima dolor ut. Est autem maxime. Ullam saepe nesciunt possimus tenetur excepturi. Hic corrupti ut vero impedit libero quia. Vero amet quia assumenda cupiditate aut qui impedit.,2,3,5,5,1,moderate,0,Great for singles,brunch
9186201,124193,2000-8-6,Excepturi libero nesciunt et cumque quasi fugiat expedita at. Quisquam ut non iusto ut molestiae blanditiis et dolorum cupiditate. Quos voluptatibus qui doloremque qui soluta optio labore voluptatem. Earum repellat vero itaque.,5,1,2,2,1,quiet,0,Great for couples,brunch
2851043,10601,2000-11-27,Earum sed odio quasi. Debitis excepturi qui nam eum dicta aspernatur qui dolores ipsum. Veniam autem doloribus aut molestias culpa in. Voluptatum voluptas molestias occaecati.,2,5,2,3,2,moderate,0,Great for families,breakfast
4749343,222461,2000-9-28,Dignissimos quae voluptas qui. Aliquid error labore pariatur soluta culpa omnis totam inventore. Voluptatem dolores deleniti illum molestiae recusandae voluptas numquam molestiae in. Dolor totam corporis.,1,1,2,2,3,energetic,0,Great for couples,live music
2447183,240067,2000-3-1,Quia ratione quos ut suscipit exercitationem et. Vel ducimus possimus corrupti voluptas dignissimos architecto cum. Ratione minima voluptatem vel quasi officia iusto quia ut sit. Rerum beatae doloribus error sit sit consequatur commodi optio. Dolorum eius vitae.,5,5,3,2,5,do not recall,0,Great night scene,breakfast
4120137,191618,2000-4-13,Non recusandae incidunt neque molestias quia laboriosam similique. Quia necessitatibus voluptatem modi sint rerum modi sit. Repellendus magnam fugiat.,5,5,5,1,2,energetic,0,Great for singles,drinks
